State Code,District Code,Sub District Code,India/ State/ Union Territory/ District/ Sub-district,Name,"Total/
Rural/
Urban",Number of villages Inhabited,Number of villages Uninhabited,Number of towns,Number of households,Persons,Males,Females,Area In sq. km,Population per sq. km.
1,1,0,DISTRICT,Kupwara,Total,353,9,10,113929,870354,474190,396164,2379,366
1,2,0,DISTRICT,Badgam,Total,462,12,9,103363,753745,398041,355704,1361,554
1,3,0,DISTRICT,Leh(Ladakh),Total,111,1,3,21909,133487,78971,54516,45110,3
1,4,0,DISTRICT,Kargil,Total,125,2,1,18338,140802,77785,63017,14036,10
1,5,0,DISTRICT,Punch,Total,170,8,3,90261,476835,251899,224936,1674,285
1,6,0,DISTRICT,Rajouri,Total,375,10,4,130401,642415,345351,297064,2630,244
1,7,0,DISTRICT,Kathua,Total,496,16,6,119583,616435,326109,290326,2502,246
1,8,0,DISTRICT,Baramula,Total,509,9,7,152635,1008039,534733,473306,4243,238
1,9,0,DISTRICT,Bandipore,Total,119,3,3,58392,392232,207680,184552,345,1137
1,10,0,DISTRICT,Srinagar,Total,11,0,5,191678,1236829,651124,585705,1979,625
1,11,0,DISTRICT,Ganderbal,Total,113,2,3,45361,297446,158720,138726,259,1148
1,12,0,DISTRICT,Pulwama,Total,319,10,5,86241,560440,293064,267376,1086,516
1,13,0,DISTRICT,Shupiyan,Total,226,3,1,44411,266215,136480,129735,312,853
1,14,0,DISTRICT,Anantnag,Total,335,7,12,153640,1078692,559767,518925,3574,302
1,15,0,DISTRICT,Kulgam,Total,226,5,7,73728,424483,217620,206863,410,1035
1,16,0,DISTRICT,Doda,Total,402,4,2,79636,409936,213641,196295,8912,46
1,17,0,DISTRICT,Ramban,Total,127,2,3,55490,283713,149132,134581,1329,213
1,18,0,DISTRICT,Kishtwar,Total,155,2,1,45209,230696,120165,110531,1644,140
1,19,0,DISTRICT,Udhampur,Total,325,6,6,99240,554985,296784,258201,2637,210
1,20,0,DISTRICT,Reasi,Total,253,2,5,56689,314667,166461,148206,1719,183
1,21,0,DISTRICT,Jammu,Total,780,72,20,314199,1529958,813821,716137,2342,653
1,22,0,DISTRICT,Samba,Total,345,31,6,65385,318898,169124,149774,904,353
2,23,0,DISTRICT,Chamba,Total,1110,481,5,102460,519080,261320,257760,6522,80
2,24,0,DISTRICT,Kangra,Total,3617,252,9,338887,1510075,750591,759484,5739,263
2,25,0,DISTRICT,Lahul & Spiti,Total,280,241,0,6674,31564,16588,14976,13841,2
2,26,0,DISTRICT,Kullu,Total,314,12,5,94807,437903,225452,212451,5503,80
2,27,0,DISTRICT,Mandi,Total,2850,488,5,219145,999777,498065,501712,3950,253
2,28,0,DISTRICT,Hamirpur,Total,1671,54,4,105519,454768,217070,237698,1118,407
2,29,0,DISTRICT,Una,Total,790,58,5,110332,521173,263692,257481,1540,338
2,30,0,DISTRICT,Bilaspur,Total,953,108,4,80485,381956,192764,189192,1167,327
2,31,0,DISTRICT,Solan,Total,2383,161,8,122425,580320,308754,271566,1936,300
2,32,0,DISTRICT,Sirmaur,Total,968,8,3,98208,529855,276289,253566,2825,188
2,33,0,DISTRICT,Shimla,Total,2705,526,11,184362,814010,425039,388971,5131,159
2,34,0,DISTRICT,Kinnaur,Total,241,419,0,19976,84121,46249,37872,6401,13
3,35,0,DISTRICT,Gurdaspur,Total,1515,80,27,443666,2298323,1212617,1085706,3551,647
3,36,0,DISTRICT,Kapurthala ,Total,612,76,9,167989,815168,426311,388857,1633,499
3,37,0,DISTRICT,Jalandhar,Total,922,19,21,461635,2193590,1145211,1048379,2624,836
