State Code,District Code,State Name,District Name,District Population,Area In sq. km,Population per sq. km.,Slum Population,state,state_code,district,recovered,deceased,confirmed,active
1.0,1.0,jammu & kashmir,kupwara,870354.0,2379.0,366.0,20475.0,jammu and kashmir,JK,kupwara,21.0,0.0,55.0,34.0
1.0,2.0,jammu & kashmir,badgam,753745.0,1361.0,554.0,32032.0,jammu and kashmir,JK,badgam,11.0,0.0,21.0,10.0
1.0,3.0,jammu & kashmir,leh(ladakh),133487.0,45110.0,3.0,7763.0,ladakh,LA,leh,13.0,0.0,15.0,2.0
1.0,4.0,jammu & kashmir,kargil,140802.0,14036.0,10.0,,ladakh,LA,kargil,4.0,0.0,8.0,4.0
1.0,5.0,jammu & kashmir,punch,476835.0,1674.0,285.0,,,,,,,,
1.0,6.0,jammu & kashmir,rajouri,642415.0,2630.0,244.0,3935.0,jammu and kashmir,JK,rajouri,3.0,0.0,4.0,1.0
1.0,7.0,jammu & kashmir,kathua,616435.0,2502.0,246.0,8363.0,jammu and kashmir,JK,kathua,0.0,0.0,1.0,1.0
1.0,8.0,jammu & kashmir,baramula,1008039.0,4243.0,238.0,70754.0,jammu and kashmir,JK,baramula,26.0,3.0,88.0,59.0
1.0,9.0,jammu & kashmir,bandipore,392232.0,345.0,1137.0,47545.0,jammu and kashmir,JK,bandipore,36.0,1.0,128.0,91.0
1.0,10.0,jammu & kashmir,srinagar,1236829.0,1979.0,625.0,343125.0,jammu and kashmir,JK,srinagar,69.0,2.0,106.0,35.0
1.0,11.0,jammu & kashmir,ganderbal,297446.0,259.0,1148.0,,jammu and kashmir,JK,ganderbal,14.0,0.0,14.0,0.0
1.0,12.0,jammu & kashmir,pulwama,560440.0,1086.0,516.0,14827.0,jammu and kashmir,JK,pulwama,3.0,0.0,7.0,4.0
1.0,13.0,jammu & kashmir,shupiyan,266215.0,312.0,853.0,8822.0,jammu and kashmir,JK,shupiyan,19.0,0.0,77.0,58.0
1.0,14.0,jammu & kashmir,anantnag,1078692.0,3574.0,302.0,28072.0,jammu and kashmir,JK,anantnag,1.0,1.0,99.0,97.0
1.0,15.0,jammu & kashmir,kulgam,424483.0,410.0,1035.0,39067.0,jammu and kashmir,JK,kulgam,3.0,0.0,11.0,8.0
1.0,16.0,jammu & kashmir,doda,409936.0,8912.0,46.0,2843.0,,,,,,,
1.0,17.0,jammu & kashmir,ramban,283713.0,1329.0,213.0,0.0,jammu and kashmir,JK,ramban,0.0,0.0,1.0,1.0
1.0,18.0,jammu & kashmir,kishtwar,230696.0,1644.0,140.0,,jammu and kashmir,JK,kishtwar,1.0,0.0,1.0,0.0
1.0,19.0,jammu & kashmir,udhampur,554985.0,2637.0,210.0,5055.0,jammu and kashmir,JK,udhampur,17.0,1.0,20.0,2.0
1.0,20.0,jammu & kashmir,reasi,314667.0,1719.0,183.0,,jammu and kashmir,JK,reasi,0.0,0.0,1.0,1.0
1.0,21.0,jammu & kashmir,jammu,1529958.0,2342.0,653.0,12228.0,jammu and kashmir,JK,jammu,26.0,0.0,26.0,0.0
1.0,22.0,jammu & kashmir,samba,318898.0,904.0,353.0,2752.0,jammu and kashmir,JK,samba,4.0,0.0,6.0,2.0
2.0,23.0,himachal pradesh,chamba,519080.0,6522.0,80.0,,himachal pradesh,HP,chamba,6.0,0.0,6.0,0.0
2.0,24.0,himachal pradesh,kangra,1510075.0,5739.0,263.0,1536.0,himachal pradesh,HP,kangra,4.0,1.0,5.0,0.0
2.0,25.0,himachal pradesh,lahul & spiti,31564.0,13841.0,2.0,,,,,,,,
2.0,26.0,himachal pradesh,kullu,437903.0,5503.0,80.0,820.0,,,,,,,
2.0,27.0,himachal pradesh,mandi,999777.0,3950.0,253.0,4540.0,,,,,,,
2.0,28.0,himachal pradesh,hamirpur,454768.0,1118.0,407.0,2218.0,himachal pradesh,HP,hamirpur,2.0,0.0,2.0,0.0
2.0,29.0,himachal pradesh,una,521173.0,1540.0,338.0,950.0,himachal pradesh,HP,una,15.0,0.0,16.0,1.0
2.0,30.0,himachal pradesh,bilaspur,381956.0,1167.0,327.0,8267.0,,,,,,,
2.0,31.0,himachal pradesh,solan,580320.0,1936.0,300.0,2605.0,himachal pradesh,HP,solan,5.0,1.0,9.0,3.0
2.0,32.0,himachal pradesh,sirmaur,529855.0,2825.0,188.0,22461.0,himachal pradesh,HP,sirmaur,1.0,0.0,2.0,1.0
2.0,33.0,himachal pradesh,shimla,814010.0,5131.0,159.0,7173.0,,,,,,,
2.0,34.0,himachal pradesh,kinnaur,84121.0,6401.0,13.0,,,,,,,,
3.0,35.0,punjab,gurdaspur,2298323.0,3551.0,647.0,87565.0,punjab,PB,gurdaspur,0.0,1.0,5.0,4.0
3.0,36.0,punjab,kapurthala,815168.0,1633.0,499.0,17115.0,punjab,PB,kapurthala,2.0,1.0,13.0,10.0
3.0,37.0,punjab,jalandhar,2193590.0,2624.0,836.0,191327.0,punjab,PB,jalandhar,8.0,4.0,120.0,108.0
3.0,38.0,punjab,hoshiarpur,1586625.0,3386.0,469.0,39427.0,punjab,PB,hoshiarpur,6.0,1.0,42.0,35.0
3.0,39.0,punjab,shahid bhagat singh nagar,612310.0,1282.0,478.0,,punjab,PB,shahid bhagat singh nagar,18.0,1.0,23.0,4.0
3.0,40.0,punjab,fatehgarh sahib,600163.0,1180.0,509.0,,punjab,PB,fatehgarh sahib,2.0,0.0,9.0,7.0
3.0,41.0,punjab,ludhiana,3498739.0,3578.0,978.0,296237.0,punjab,PB,ludhiana,6.0,4.0,97.0,87.0
3.0,42.0,punjab,moga,995746.0,2242.0,444.0,30774.0,punjab,PB,moga,4.0,0.0,28.0,24.0
3.0,43.0,punjab,firozpur,2029074.0,5305.0,382.0,105105.0,punjab,PB,firozpur,0.0,0.0,26.0,26.0
3.0,44.0,punjab,muktsar,901896.0,2593.0,348.0,81648.0,,,,,,,
3.0,45.0,punjab,faridkot,617508.0,1458.0,424.0,73708.0,punjab,PB,faridkot,2.0,0.0,6.0,4.0
3.0,46.0,punjab,bathinda,1388525.0,3353.0,414.0,57591.0,punjab,PB,bathinda,0.0,0.0,2.0,2.0
3.0,47.0,punjab,mansa,769751.0,2198.0,350.0,33351.0,punjab,PB,mansa,4.0,0.0,13.0,9.0
3.0,48.0,punjab,patiala,1895686.0,3325.0,570.0,15636.0,punjab,PB,patiala,2.0,1.0,86.0,83.0
3.0,49.0,punjab,amritsar,2490656.0,2683.0,928.0,336130.0,punjab,PB,amritsar,8.0,2.0,143.0,133.0
3.0,50.0,punjab,tarn taran,1119627.0,2414.0,464.0,47715.0,punjab,PB,tarn taran,0.0,0.0,14.0,14.0
3.0,51.0,punjab,rupnagar,684627.0,1356.0,505.0,1275.0,punjab,PB,rupnagar,2.0,1.0,6.0,3.0
3.0,52.0,punjab,sahibzada ajit singh nagar,994628.0,1094.0,909.0,18771.0,punjab,PB,s.a.s. nagar,34.0,2.0,94.0,58.0
3.0,53.0,punjab,sangrur,1655169.0,3625.0,457.0,27418.0,punjab,PB,sangrur,3.0,0.0,7.0,4.0
3.0,54.0,punjab,barnala,595527.0,1482.0,402.0,,punjab,PB,barnala,1.0,1.0,2.0,0.0
4.0,55.0,chandigarh,chandigarh,1055450.0,114.0,9258.0,95137.0,chandigarh,CH,chandigarh,19.0,0.0,94.0,75.0
5.0,56.0,uttarakhand,uttarkashi,330086.0,8016.0,41.0,0.0,,,,,,,
5.0,57.0,uttarakhand,chamoli,391605.0,8030.0,49.0,1860.0,,,,,,,
5.0,58.0,uttarakhand,rudraprayag,242285.0,1984.0,122.0,0.0,,,,,,,
5.0,59.0,uttarakhand,tehri garhwal,618931.0,3642.0,170.0,2048.0,uttarakhand,UT,pauri garhwal,1.0,0.0,1.0,0.0
5.0,60.0,uttarakhand,dehradun,1696694.0,3088.0,549.0,194897.0,uttarakhand,UT,dehradun,19.0,0.0,33.0,14.0
5.0,61.0,uttarakhand,garhwal,687271.0,5329.0,129.0,2390.0,,,,,,,
5.0,62.0,uttarakhand,pithoragarh,483439.0,7090.0,68.0,1400.0,,,,,,,
5.0,63.0,uttarakhand,bageshwar,259898.0,2241.0,116.0,2782.0,,,,,,,
5.0,64.0,uttarakhand,almora,622506.0,3144.0,198.0,700.0,uttarakhand,UT,almora,1.0,0.0,1.0,0.0
5.0,65.0,uttarakhand,champawat,259648.0,1766.0,147.0,1475.0,,,,,,,
5.0,66.0,uttarakhand,nainital,954605.0,4251.0,225.0,34350.0,uttarakhand,UT,nainital,8.0,0.0,10.0,2.0
5.0,67.0,uttarakhand,udham singh nagar,1648902.0,2542.0,649.0,155256.0,uttarakhand,UT,udham singh nagar,4.0,0.0,7.0,3.0
5.0,68.0,uttarakhand,hardwar,1890422.0,2360.0,801.0,86282.0,uttarakhand,UT,haridwar,5.0,0.0,7.0,2.0
6.0,69.0,haryana,panchkula,561293.0,898.0,625.0,49117.0,haryana,HR,panchkula,17.0,0.0,18.0,1.0
6.0,70.0,haryana,ambala,1128350.0,1574.0,717.0,69299.0,haryana,HR,ambala,11.0,1.0,14.0,2.0
6.0,71.0,haryana,yamunanagar,1214205.0,1768.0,687.0,93568.0,haryana,HR,yamunanagar,3.0,0.0,4.0,1.0
6.0,72.0,haryana,kurukshetra,964655.0,1530.0,630.0,69032.0,haryana,HR,kurukshetra,2.0,0.0,2.0,0.0
6.0,73.0,haryana,kaithal,1074304.0,2317.0,464.0,92781.0,haryana,HR,kaithal,2.0,0.0,2.0,0.0
6.0,74.0,haryana,karnal,1505324.0,2520.0,597.0,78763.0,haryana,HR,karnal,5.0,1.0,6.0,0.0
6.0,75.0,haryana,panipat,1205437.0,1268.0,951.0,22190.0,haryana,HR,panipat,5.0,0.0,13.0,8.0
6.0,76.0,haryana,sonipat,1450001.0,2122.0,683.0,117603.0,haryana,HR,sonipat,4.0,0.0,26.0,22.0
6.0,77.0,haryana,jind,1334152.0,2702.0,494.0,121261.0,haryana,HR,jind,2.0,0.0,2.0,0.0
6.0,78.0,haryana,fatehabad,942011.0,2538.0,371.0,53036.0,haryana,HR,fatehabad,1.0,0.0,1.0,0.0
6.0,79.0,haryana,sirsa,1295189.0,4277.0,303.0,30750.0,haryana,HR,sirsa,4.0,0.0,6.0,2.0
6.0,80.0,haryana,hisar,1743931.0,3983.0,438.0,171007.0,haryana,HR,hisar,2.0,0.0,4.0,2.0
6.0,81.0,haryana,bhiwani,1634445.0,4778.0,342.0,61046.0,haryana,HR,bhiwani,2.0,0.0,3.0,1.0
6.0,82.0,haryana,rohtak,1061204.0,1745.0,608.0,55981.0,haryana,HR,rohtak,2.0,1.0,4.0,1.0
6.0,83.0,haryana,jhajjar,958405.0,1834.0,523.0,75878.0,haryana,HR,jhajjar,0.0,0.0,40.0,40.0
6.0,84.0,haryana,mahendragarh,922088.0,1899.0,486.0,26838.0,,,,,,,
6.0,85.0,haryana,rewari,900332.0,1594.0,565.0,64902.0,,,,,,,
